TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,4.5,5.7,,5.0,6.7
2003,5.7,6.2,6.3,5.8,7.2
2004,5.8,6.0,5.7,5.9,6.8
2005,5.9,5.9,6.5,6.3,8.5
2006,5.7,6.5,6.6,8.0,7.3
2007,5.4,6.8,6.2,6.8,8.2
2008,5.7,6.7,6.9,7.2,8.9
2009,6.9,7.1,7.0,7.1,9.2
2010,7.0,7.2,6.7,7.1,8.9
2011,6.5,6.7,7.2,6.9,9.4
2012,6.2,6.4,6.7,7.1,9.6
2013,6.7,6.7,5.4,7.1,10.1
2014,6.8,6.7,6.3,7.6,9.3
2015,5.9,6.5,6.1,8.0,9.6
2016,6.7,6.5,6.5,9.2,10.4
2017,6.9,6.9,6.3,8.2,10.1
2018,6.6,6.8,,8.0,10.8
2019,5.9,7.2,,8.3,10.2
2020,6.8,6.6,,,10.1
