TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania*,Australia and New Zealand,Latin America and the Caribbean
2004,59.7,36.2,50.3,51.9,50.3,46.3,62.1,47.5
2005,59.2,35.1,49.7,50.8,50.2,45.3,61.8,47.3
2006,58.9,34.5,49.6,49.0,49.8,44.2,61.3,47.2
2007,59.0,34.4,49.2,48.1,49.2,43.9,61.0,46.8
2008,59.1,33.3,48.7,51.1,49.8,44.4,59.7,47.4
2009,59.9,35.5,50.4,52.3,50.0,44.0,59.9,50.0
2010,58.8,35.0,49.8,50.6,48.9,42.9,59.9,48.5
2011,57.8,33.8,49.8,49.9,49.3,43.5,59.9,48.8
2012,57.8,33.7,50.4,49.5,49.7,43.3,59.7,49.4
2013,57.7,34.4,50.5,49.1,50.1,43.0,58.8,50.2
2014,57.7,35.3,50.4,49.8,50.5,41.8,59.7,50.7
2015,57.6,37.6,51.2,49.4,50.7,41.9,60.3,49.9
2016,57.7,39.0,51.0,49.4,50.8,41.7,58.2,49.8
2017,57.5,38.6,50.8,50.4,50.6,41.6,58.0,49.4
2018,57.5,38.6,50.8,50.3,50.7,41.9,57.4,48.9
2019,57.6,38.9,50.7,50.9,50.7,41.4,58.5,49.1
