COMPOSITE_BREAKDOWN,Share of members,Share of voting rights
Asian Development Bank,69.1176,46.504
African Development Bank,76.5432,62.3973
UN Economic and Social Council,62.963,62.963
Financial Stability Board,50.0,43.8597
Inter-American Development Bank,58.3333,50.022
International Bank for Reconstruction and Development,75.1323,39.1154
International Finance Corporation,75.2688,31.7539
International Monetary Fund,74.7368,37.3188
UN General Assembly,74.0933,74.0933
UN Security Council,53.3333,53.3333
World Trade Organisation,72.561,72.561
