Year,Denmark,Finland,Iceland,Norway,Sweden
2007,44.192,35.626,,43.07,46.682
2008,47.939,33.498,19.231,43.587,45.631
2009,48.764,35.895,20.455,43.471,49.18
2010,48.764,32.83,20.779,42.783,47.778
2011,42.39,34.842,25.316,40.685,46.974
2012,42.467,33.309,27.879,40.657,46.855
2013,43.283,32.513,30.12,39.707,48.216
2014,45.383,32.548,29.714,43.131,49.336
2015,47.399,40.577,31.034,43.438,47.546
2016,48.34,41.956,33.182,38.236,48.413
2017,47.61,40.475,25.778,38.804,46.803
2018,49.968,42.232,27.53,40.705,45.833
2019,51.509,43.393,,40.858,46.618
