Year,Denmark,Finland,Iceland,Norway,Sweden
2000,14.55761,7.64582,7.71057,10.13793,8.56375
2005,13.08338,7.20585,7.47489,8.22931,7.39389
2010,13.35076,7.35265,7.34296,8.17431,7.55838
2011,13.61736,7.16954,7.56968,9.14048,7.61538
2012,10.86565,6.48428,6.90333,7.61996,6.28548
2013,10.48783,6.09858,6.79215,7.34493,6.28063
2014,11.0559,6.49007,6.62412,7.49681,6.55795
2015,10.18456,5.71918,6.50414,7.06615,5.96541
2016,9.30205,5.67993,6.09614,6.63938,5.53104
2017,10.28813,5.3344,6.37648,6.6895,5.78105
2018,9.87276,5.67502,6.36308,6.72623,5.76737
2019,9.78493,5.63829,6.37407,6.66793,5.72135
