Year,Denmark,Finland,Iceland,Norway,Sweden
1990,13.97,14.256,14.45,11.956,8.351
1991,15.993,13.77,13.483,11.343,8.307
1992,14.796,13.424,13.059,10.897,8.22
1993,15.16,13.8,13.258,11.271,8.197
1994,15.869,14.836,12.873,11.646,8.421
1995,15.255,14.046,13.29,11.661,8.307
1996,17.662,15.168,13.446,12.26,8.736
1997,15.785,14.866,13.921,12.189,8.178
1998,14.988,14.112,14.258,12.133,8.218
1999,14.443,13.948,14.864,12.269,7.858
2000,13.614,13.55,14.773,12.041,7.704
2001,13.893,14.548,14.211,12.251,7.771
2002,13.745,14.976,14.413,11.937,7.814
2003,14.666,16.399,14.185,12.037,7.822
2004,13.527,15.634,14.417,12.071,7.718
2005,12.694,13.287,13.68,11.782,7.369
2006,14.077,15.402,15.206,11.708,7.289
2007,13.171,15.021,15.805,11.95,7.109
2008,12.441,13.421,16.723,11.51,6.793
2009,11.875,12.679,15.703,10.881,6.28
2010,11.879,14.087,15.427,11.234,6.864
2011,10.895,12.586,14.709,10.902,6.351
2012,10.034,11.499,14.614,10.637,5.999
2013,10.302,11.528,14.5,10.554,5.778
2014,9.506,10.715,14.318,10.493,5.541
2015,8.952,10.039,14.427,10.475,5.465
2016,9.242,10.524,14.058,10.207,5.388
2017,8.814,9.991,13.977,9.983,5.226
2018,8.761,10.144,13.808,9.922,5.089
2019,8.073,9.549,13.102,9.529,4.923
2020,7.636,8.637,12.337,9.149,4.464
2021,7.78,8.626,12.515,9.042,4.591
