Year,Denmark,Finland,Iceland,Norway,Sweden
1990,0.386,0.459,0.439,0.296,0.254
1991,0.437,0.474,0.415,0.274,0.257
1992,0.398,0.48,0.422,0.255,0.259
1993,0.409,0.499,0.427,0.258,0.265
1994,0.408,0.519,0.404,0.256,0.264
1995,0.382,0.473,0.418,0.247,0.252
1996,0.433,0.494,0.407,0.249,0.261
1997,0.376,0.457,0.402,0.236,0.237
1998,0.35,0.412,0.387,0.23,0.229
1999,0.329,0.391,0.393,0.23,0.21
2000,0.3,0.36,0.377,0.22,0.197
2001,0.305,0.378,0.353,0.22,0.196
2002,0.301,0.383,0.36,0.213,0.194
2003,0.321,0.412,0.349,0.214,0.19
2004,0.289,0.379,0.332,0.207,0.18
2005,0.266,0.315,0.301,0.199,0.168
2006,0.285,0.352,0.323,0.194,0.16
2007,0.265,0.327,0.317,0.195,0.152
2008,0.253,0.292,0.334,0.189,0.147
2009,0.255,0.301,0.341,0.184,0.143
2010,0.252,0.326,0.345,0.191,0.149
2011,0.229,0.285,0.323,0.186,0.135
2012,0.211,0.265,0.32,0.179,0.129
2013,0.216,0.27,0.306,0.178,0.124
2014,0.197,0.253,0.301,0.175,0.117
2015,0.182,0.236,0.293,0.174,0.111
2016,0.184,0.242,0.273,0.169,0.109
2017,0.172,0.223,0.266,0.163,0.104
2018,0.168,0.224,0.258,0.161,0.101
2019,0.153,0.208,0.244,0.154,0.097
2020,0.148,0.193,0.251,0.15,0.09
2021,0.145,0.188,0.248,0.144,0.089
