TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2005,1.86536,1.51286,11.38058,4.83947,2.41189
2006,2.54946,0.90536,4.80901,8.21179,1.56855
2007,5.67924,1.43337,6.47039,5.14084,1.61501
2008,6.44745,1.63576,10.61246,6.89185,8.67041
2009,3.48344,0.71646,9.4695,9.71613,1.10243
2010,2.28091,0.73382,11.93486,11.94265,1.1558
2011,6.44146,0.39653,16.0508,10.08724,1.16412
2012,3.92073,6.19252,10.94311,14.61841,4.44138
2013,2.97247,2.25493,11.81647,10.68827,1.50365
2014,2.79938,2.44967,14.18514,11.06456,1.54067
2015,6.30996,2.27454,11.22996,7.26813,2.80039
2016,3.06505,3.63565,9.92261,7.70408,1.68885
2017,3.57844,3.1946,12.40693,9.87532,2.13639
2018,1.11015,2.53959,8.71897,11.24683,1.81981
2019,3.56811,8.19352,13.19985,12.33291,4.88832
2020,3.87021,8.50139,11.46282,12.25308,4.00724
2021,2.581,2.04491,7.80764,11.51611,1.63658
