TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,83.30189,50.29814,9.6423,33.96359,37.73664
2001,83.30189,50.358,9.6423,33.96359,39.56906
2002,83.30189,50.35947,9.68871,44.54359,41.84047
2003,83.30189,50.36258,9.68871,45.61189,41.84047
2004,83.82755,53.78695,10.14823,48.4601,45.57948
2005,86.5316,58.56846,10.14823,49.32126,49.44315
2006,86.5316,58.69452,10.60988,49.64884,49.74817
2007,86.54042,58.74244,10.60988,49.64884,49.75111
2008,86.54042,58.79992,10.60988,50.227,55.96963
2009,86.87402,58.92368,12.28413,50.53108,55.99988
2010,86.90925,58.92885,12.28413,50.61443,56.0539
2011,86.90942,60.0257,12.7028,50.79855,56.44035
2012,86.90942,60.03648,15.20894,51.00885,56.66927
2013,86.90942,60.05232,15.20894,51.93322,56.67007
2014,86.94376,60.06889,15.20894,51.93322,57.01827
2015,86.94376,60.73458,15.20894,51.96948,57.02525
2016,86.98513,60.80926,15.20894,54.97194,59.72525
2017,86.98513,60.85415,15.20894,55.14681,59.74225
2018,86.98513,60.8544,15.20894,55.14681,59.94344
2019,86.98513,60.85448,15.20894,55.14681,60.20657
2020,86.98513,60.85448,15.20894,55.14681,60.20657
2021,86.98513,60.85448,15.20894,55.14681,60.20657
