TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,51310.96,19.7,17.51,1112.38,1598.12,48285.17,5.67,0.0,272.42
2005,239424.17,6579.44,31.94,2327.91,8471.46,221073.97,66.76,0.0,872.69
2010,343428.2,11581.44,37.99,7346.52,13808.16,302196.14,2.7,20.27,8434.98
2015,397541.39,11844.72,833.65,6348.42,14500.27,344039.07,188.51,2359.47,17427.27
2016,423871.12,28038.49,769.51,7601.25,14388.13,352133.55,161.28,2365.75,18413.15
2017,431970.82,25513.26,527.45,7681.8,15502.39,359761.79,163.41,2350.08,20470.66
2018,422750.96,10182.34,539.02,7003.82,15439.59,364741.56,162.37,2396.88,22285.38
2019,426387.73,12825.05,652.16,6779.53,15479.75,366106.98,159.34,3121.4,21263.51
2020,435529.55,12732.45,568.55,9052.64,19927.62,367696.56,137.77,6432.03,18981.94
2021,462964.16,17767.57,563.76,9399.12,20199.48,389591.98,137.8,6667.14,18637.31
2022,444053.85,21034.83,601.91,9796.25,21153.64,367186.25,137.6,5493.61,18649.76
Change 2021-2022,-18910.309999999998,3267.260000000002,38.14999999999998,397.1299999999992,954.1599999999999,-22405.72999999998,-0.20000000000001705,-1173.5300000000007,12.44999999999709
