TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2003,29.11,13.13,7.34,22.01,20.74
2004,28.91,13.34,7.83,18.52,21.29
2005,25.84,13.34,15.13,16.88,20.05
2006,27.92,11.4,15.13,15.65,21.59
2007,28.12,13.82,10.43,16.69,20.52
2008,34.28,16.23,10.0,17.2,19.47
2009,38.32,15.99,16.89,17.28,19.83
2010,35.73,16.88,7.78,21.75,21.5
2011,34.99,17.9,8.0,22.87,22.81
2012,28.52,19.09,16.99,22.46,22.94
2013,29.97,16.81,8.16,24.84,23.52
2014,29.75,19.98,8.45,24.74,25.62
2015,29.04,18.5,17.27,25.74,24.58
2016,27.08,19.14,12.07,25.17,25.22
2017,37.3,19.95,12.41,25.1,27.39
2018,34.0,17.9,7.35,23.69,28.15
2019,34.46,21.46,20.89,23.81,28.05
2020,37.3,23.48,14.18,23.61,27.7
