TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,2.97408,1.56239,1.63357,1.03155,1.74697
2005,2.6536,1.28664,1.29001,0.85485,1.58739
2010,2.49205,1.14542,1.19727,0.68602,1.37069
2011,2.48626,1.13957,1.19684,0.68011,1.36553
2012,1.85941,1.12349,1.28577,0.66826,1.37904
2013,2.51904,1.1424,1.24926,0.65575,1.38899
2014,2.53446,1.13171,1.24319,0.6488,1.38223
2015,2.61326,1.27456,1.24874,0.67518,1.60429
2016,2.58978,1.24489,1.25554,0.7586,1.57634
2017,1.7306,1.11008,1.18565,0.75483,1.37379
2018,2.42844,1.05731,1.21347,0.81879,1.19617
2019,1.59185,0.95582,1.21593,0.81773,1.0962
2020,1.57579,0.9288,1.22528,0.83276,1.06368
2021,1.57925,0.91441,1.22536,0.83339,1.03665
