TIME_PERIOD,Northern Africa,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Oceania*
2000,2.73035,2.35606,1.16267,0.91918,
2001,3.24188,2.51594,0.96326,1.13458,
2002,3.61737,3.03874,0.98306,1.46692,
2003,3.92555,3.26453,0.89119,1.88757,5.80692
2004,4.08839,2.62905,1.0678,1.91113,5.43997
2005,3.21357,2.67981,2.50785,1.80653,5.66958
2006,3.10891,2.89137,2.47456,1.81206,4.70166
2007,3.37054,2.90712,2.36386,1.64163,3.81294
2008,3.09062,3.63792,2.22534,1.42859,3.60174
2009,2.93196,3.50835,2.32063,1.3405,3.71013
2010,3.45773,3.24512,2.1954,1.10122,3.21818
2011,3.6451,3.40568,2.3307,1.02742,3.09601
2012,3.82613,3.75242,2.24326,1.02264,3.34128
2013,3.65173,3.92392,2.12337,1.01948,3.38822
2014,4.23987,3.84718,2.17849,1.04746,3.18947
2015,4.06568,3.75963,2.58583,1.41217,3.37091
2016,4.0816,3.37378,2.46195,1.54905,3.43313
2017,5.56738,3.21582,2.56979,1.54255,3.14781
2018,5.49405,3.63648,2.79824,1.73284,3.10951
2019,5.33064,3.72513,2.77082,1.90772,3.22795
2020,6.04472,4.1812,2.52511,2.43259,2.7535
