TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,46.76,0.6,0.9,5.17,,,2.16,4.97
2001,50.0,0.75,1.08,6.84,,,3.02,6.74
2002,53.25,1.6,1.27,8.55,,,5.01,8.88
2003,56.5,1.86,1.52,10.69,,,6.72,10.46
2004,59.75,2.22,,12.92,,,,12.6
2005,63.0,2.8,2.0,16.6,48.6,2.7,10.4,14.2
2006,66.5,3.3,2.6,20.7,51.4,2.9,12.6,16.1
2007,69.5,4.3,3.1,23.7,57.0,3.1,17.8,20.3
2008,71.7,4.9,3.6,26.5,60.1,2.9,21.7,24.8
2009,75.2,5.8,4.3,31.0,62.7,3.8,24.6,29.1
2010,76.7,7.9,6.0,34.7,65.7,4.0,28.1,33.8
2011,79.8,10.2,7.5,39.3,67.2,5.6,30.9,37.0
2012,79.4,11.3,9.2,43.0,71.2,7.4,33.8,40.1
2013,83.3,12.8,11.2,46.1,71.9,8.8,36.8,42.9
2014,84.0,14.6,13.4,48.7,73.8,10.5,40.5,45.2
2015,84.7,16.5,16.0,54.3,74.7,12.2,43.8,48.0
2016,86.5,18.8,18.4,57.5,79.4,14.4,47.2,51.4
2017,86.7,21.4,21.2,62.3,81.2,17.5,52.6,53.5
2018,89.8,24.3,24.0,65.3,83.7,21.9,56.0,58.6
2019,93.0,32.4,27.4,67.9,85.1,27.3,61.1,63.2
2020,95.8,43.0,31.5,73.0,87.0,34.7,67.1,68.5
2021,96.2,46.0,34.9,74.8,89.0,38.9,71.3,72.3
2022,97.4,50.2,39.4,77.9,90.9,48.1,75.7,76.5
