Time,Denmark,Finland,Iceland,Norway,Sweden
2005,77.323,72.6538,85.8475,79.8764,81.3644
2006,82.7236,77.2105,88.2612,81.1627,86.2472
2007,81.369,79.0825,89.8839,85.3382,80.0451
2008,83.8851,82.6229,90.5557,88.8628,87.8416
2009,85.9737,82.4919,92.5748,91.0307,89.6114
2010,87.8891,85.8719,93.3883,92.6084,90.8504
2011,89.8095,88.7106,94.8244,93.4885,92.7698
2012,92.2639,89.8787,96.213,94.6491,93.1762
2013,94.6297,91.5144,96.5468,95.0534,94.7836
2014,95.9935,92.3838,98.1582,96.3005,92.5236
2015,96.3305,92.2779,,96.8103,90.6102
2016,96.9678,93.9168,,97.2982,93.3057
2017,97.0994,93.6791,98.2639,97.5535,96.1903
2018,97.6081,94.3981,99.0198,97.3851,92.0789
2019,97.0633,95.2912,99.0333,98.3963,97.5515
2020,98.661,96.9953,99.4731,97.6195,97.0802
2021,98.8931,96.7059,99.4419,99.4235,96.7601
2022,97.8574,97.2588,,99.6965,96.8115
