TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,0.7,,57.0,13.5,1.4,,5.4,36.0
2001,0.7,,56.3,13.2,1.0,,5.5,33.9
2002,0.9,38.6,55.3,12.4,0.8,,5.0,30.3
2003,1.0,37.4,54.2,12.1,0.8,,5.2,27.3
2004,0.7,35.6,51.6,11.0,0.7,,4.5,23.9
2005,0.5,33.9,49.9,10.4,0.6,,4.3,19.7
2006,0.4,32.4,48.6,8.5,0.6,,4.0,19.2
2007,0.4,30.6,47.3,8.1,0.4,38.4,3.8,17.1
2008,0.4,29.3,45.7,7.5,0.4,38.8,3.4,16.1
2009,0.4,28.2,45.1,7.1,0.5,36.0,3.4,14.2
2010,0.3,25.3,43.1,6.4,0.5,32.5,3.1,12.1
2011,0.4,20.8,42.0,6.0,0.5,32.5,3.0,9.4
2012,0.4,19.1,41.2,5.1,0.5,31.7,3.2,8.0
2013,0.5,18.3,40.1,4.5,0.5,,3.4,4.0
2014,0.5,17.4,39.0,4.3,0.7,,3.4,3.2
2015,0.5,16.1,38.9,4.2,0.7,,5.3,2.4
2016,0.5,15.2,38.4,4.4,0.6,,5.8,2.0
2017,0.5,12.2,37.5,4.4,0.7,,6.3,1.7
2018,0.5,9.8,36.4,4.3,0.5,,,1.3
2019,0.5,8.4,35.7,4.3,0.5,,,1.0
