Year,Denmark,Finland,Iceland,Norway,Sweden
2004,,6.5,5.800000000000001,6.9,
2005,,6.6000000000000005,6.3,,
2006,,6.9,5.7,,
2007,,7.8,6.6000000000000005,,
2008,,7.9,6.6000000000000005,7.8,
2009,,7.3999999999999995,6.2,7.5,
2010,,7.199999999999999,6.6000000000000005,7.5,
2011,5.800000000000001,7.5,5.800000000000001,7.7,
2012,5.4,6.5,6.1,8.1,
2013,5.4,7.1,4.5,7.8,8.4
2014,5.5,6.800000000000001,6.7,8.1,8.7
2015,5.5,6.3,5.4,8.1,8.9
2016,5.800000000000001,5.800000000000001,6.0,8.200000000000001,8.799999999999999
2017,6.1,6.3,4.9,8.4,9.3
2018,6.4,6.5,,8.4,8.7
2019,6.5,6.4,,8.4,9.1
2020,,5.7,,8.4,8.799999999999999
2021,,6.7,,7.9,9.2
