TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2001,0.33,0.33,0.16,0.47,0.68,0.13,0.32,0.64
2002,0.45,0.33,0.14,0.71,0.6,0.11,0.29,0.63
2003,0.44,0.32,0.13,0.39,0.57,0.12,0.3,0.65
2004,0.43,0.34,0.16,0.39,0.51,0.15,0.35,0.64
2005,0.4,0.37,0.19,0.43,0.64,0.09,0.33,0.77
2006,0.58,0.42,0.19,0.39,0.63,0.13,0.38,0.78
2007,0.52,0.49,0.21,0.42,0.54,0.12,0.38,0.68
2008,0.63,0.58,0.19,0.43,0.55,0.1,0.42,0.66
2009,0.48,0.46,0.17,0.34,0.55,0.14,0.32,0.75
2010,0.43,0.47,0.17,0.4,0.52,0.15,0.28,0.77
2011,0.39,0.45,0.18,0.37,0.45,0.15,0.32,0.77
2012,0.35,0.42,0.16,0.38,0.42,0.19,0.36,0.83
2013,0.29,0.39,0.15,0.36,0.38,0.11,0.34,0.86
2014,0.27,0.39,0.15,0.39,0.38,0.13,0.33,0.88
2015,0.23,0.37,0.14,0.35,0.4,0.12,0.31,0.98
2016,0.22,0.3,0.14,0.31,0.42,0.13,0.31,0.99
2017,0.23,0.4,0.14,0.29,0.4,0.13,0.32,1.02
2018,0.27,0.42,0.12,0.3,0.43,0.12,0.33,1.09
2019,0.3,0.46,0.12,0.26,0.47,0.12,0.32,1.06
2020,0.25,0.34,0.12,0.22,0.51,0.11,0.32,1.08
