TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,7.50514,397.422,807.143,89.9683,17.0211,261.436,159.113,121.096
2001,6.9046,383.077,792.805,89.5434,16.2102,265.781,155.558,116.977
2002,6.40277,349.933,777.807,88.912,16.7689,273.631,151.229,114.808
2003,6.38998,337.958,750.251,86.418,15.9297,276.748,145.645,104.469
2004,6.28441,321.223,733.155,87.2361,14.6862,262.708,138.278,109.573
2005,5.55905,306.119,716.311,84.5776,14.0734,266.53,130.59,105.098
2006,5.68912,271.834,698.32,83.3199,13.2043,273.345,125.276,99.5158
2007,6.04564,260.809,692.834,84.4796,12.394,284.297,115.749,95.4571
2008,5.72068,245.973,689.252,83.5398,12.1579,249.593,114.574,93.0308
2009,6.22104,233.811,679.633,80.2895,12.5569,247.103,105.557,86.6056
2010,6.22679,210.365,667.872,78.608,11.6305,247.952,102.057,82.8448
2011,6.69552,200.405,643.348,77.6202,11.4414,227.431,96.3136,84.9749
2012,6.4715,189.378,628.687,74.1104,11.2568,221.685,91.4868,75.8124
2013,6.29798,181.028,621.264,74.9762,11.1721,204.384,88.8248,74.1436
2014,5.79948,168.29,615.553,74.2358,10.8787,202.002,84.6757,70.6502
2015,5.79665,160.033,597.897,75.2876,11.0459,185.243,86.3451,72.097
2016,5.5825,153.457,588.464,76.1374,11.0585,186.45,86.1344,69.2672
2017,5.19602,147.534,580.706,76.3428,11.29,187.134,84.4502,68.386
2018,4.95659,144.666,571.987,77.0342,11.3789,178.739,84.4236,69.6316
2019,5.4444,144.438,561.443,78.2836,11.2396,172.155,86.523,67.6385
2020,3.65316,128.981,545.072,87.5823,12.8922,172.543,84.0744,73.7451
