TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,5.3,67.3,92.3,27.5,8.0,46.4,38.4,31.3
2001,5.2,65.0,89.4,26.3,7.8,45.9,36.8,29.7
2002,5.1,62.8,86.5,25.0,7.6,45.3,35.4,28.0
2003,5.0,60.7,83.5,23.9,7.3,44.8,34.0,26.3
2004,5.0,58.6,80.5,22.9,7.1,44.2,32.6,25.0
2005,4.9,56.6,77.7,21.9,6.8,43.6,31.3,23.2
2006,4.8,54.6,75.1,21.0,6.6,43.0,30.1,21.8
2007,4.7,52.6,72.5,20.1,6.3,42.3,28.9,20.5
2008,4.5,50.6,70.1,19.4,6.1,41.6,27.8,19.7
2009,4.4,48.8,68.0,18.7,6.0,40.9,26.8,18.2
2010,4.2,46.9,66.0,18.5,5.8,40.1,26.0,17.3
2011,4.0,45.0,64.2,17.4,5.6,39.3,25.2,16.4
2012,3.8,43.1,62.5,16.9,5.5,38.5,24.8,15.4
2013,3.7,41.3,60.9,16.4,5.4,37.8,24.3,14.7
2014,3.6,39.5,59.5,16.0,5.2,37.0,23.7,13.9
2015,3.5,37.7,58.1,15.6,5.1,36.2,23.1,13.5
2016,3.4,36.1,56.8,15.8,4.9,35.5,22.5,12.7
2017,3.4,34.6,55.5,15.1,4.8,34.7,21.9,12.1
2018,3.3,33.2,54.1,14.8,4.6,33.9,21.5,12.1
2019,3.3,31.9,52.8,14.4,4.5,33.1,21.1,11.8
2020,3.3,30.7,51.6,14.0,4.4,32.3,20.7,11.8
2021,3.3,29.4,50.4,13.6,4.3,31.4,20.4,11.7
