TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,3.5,45.1,40.6,16.3,5.2,25.9,23.1,20.1
2001,3.5,43.7,39.7,15.6,5.0,25.5,22.4,19.1
2002,3.4,42.4,38.8,14.8,4.9,25.2,21.7,18.1
2003,3.4,41.1,37.9,14.2,4.8,24.9,21.1,17.0
2004,3.3,39.8,37.0,13.6,4.6,24.6,20.5,16.0
2005,3.2,38.6,36.1,13.0,4.4,24.4,19.8,15.0
2006,3.2,37.5,35.3,12.6,4.3,24.2,19.2,14.0
2007,3.1,36.5,34.5,12.2,4.1,24.0,18.5,13.2
2008,3.0,35.4,33.8,11.8,3.9,23.7,17.9,12.4
2009,2.9,34.3,33.2,11.5,3.8,23.3,17.4,11.6
2010,2.8,33.3,32.6,11.2,3.7,22.9,16.9,11.0
2011,2.7,32.2,32.0,10.9,3.7,22.5,16.4,10.4
2012,2.7,31.1,31.4,10.7,3.7,22.1,16.0,9.7
2013,2.6,30.0,30.9,10.4,3.6,21.7,15.6,9.3
2014,2.5,28.9,30.4,10.1,3.5,21.4,15.2,8.7
2015,2.5,27.8,30.0,10.1,3.4,21.0,14.8,8.4
2016,2.4,26.8,29.5,10.2,3.3,20.7,14.5,7.9
2017,2.4,25.8,29.0,9.9,3.2,20.4,14.3,7.5
2018,2.4,24.8,28.5,9.8,3.1,20.1,14.1,7.5
2019,2.4,23.8,28.0,9.6,3.0,19.8,13.9,7.3
2020,2.4,22.8,27.6,9.3,2.9,19.4,13.7,7.3
2021,2.4,21.9,27.1,9.0,2.8,19.0,13.5,7.2
