TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,7.0,299.0,349.0,54.0,34.0,306.0,58.0,179.0
2001,6.7,298.0,357.0,51.0,33.0,307.0,56.0,177.0
2002,6.6,298.0,362.0,51.0,32.0,307.0,55.0,174.0
2003,6.7,296.0,369.0,51.0,32.0,309.0,53.0,171.0
2004,6.9,293.0,371.0,50.0,31.0,313.0,53.0,168.0
2005,6.5,290.0,370.0,48.0,31.0,316.0,53.0,165.0
2006,7.0,286.0,368.0,46.0,30.0,317.0,52.0,162.0
2007,6.4,280.0,362.0,45.0,29.0,319.0,50.0,159.0
2008,6.8,275.0,352.0,45.0,29.0,320.0,47.0,156.0
2009,7.0,269.0,345.0,44.0,28.0,322.0,47.0,155.0
2010,6.8,263.0,335.0,43.0,26.0,324.0,46.0,151.0
2011,6.6,257.0,324.0,43.0,25.0,326.0,43.0,149.0
2012,6.8,251.0,313.0,43.0,24.0,326.0,41.0,148.0
2013,6.3,246.0,300.0,42.0,23.0,329.0,39.0,144.0
2014,6.7,241.0,291.0,41.0,22.0,331.0,39.0,142.0
2015,6.3,235.0,278.0,41.0,21.0,333.0,38.0,139.0
2016,6.7,230.0,261.0,42.0,20.0,334.0,36.0,137.0
2017,6.8,219.0,250.0,43.0,19.0,334.0,35.0,136.0
2018,6.7,211.0,241.0,43.0,17.0,336.0,34.0,134.0
2019,6.9,204.0,232.0,43.0,16.0,337.0,32.0,131.0
2020,7.2,197.0,224.0,42.0,15.0,326.0,31.0,128.0
2021,6.6,202.0,218.0,46.0,14.0,331.0,31.0,140.0
