TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2010,89786.0,1049220000.0,632129000.0,88382500.0,1084010.0,10536500.0,79518700.0,329452000.0
2011,72603.0,1059360000.0,659400000.0,75990500.0,1075720.0,9698400.0,77608900.0,291324000.0
2012,60280.0,1006690000.0,669934000.0,76516200.0,126073.0,8962010.0,77451800.0,286905000.0
2013,145958.0,896643000.0,708442000.0,72241800.0,63045.0,8214370.0,80486600.0,273334000.0
2014,57073.0,866086000.0,650286000.0,73849700.0,7083.0,12306200.0,62149000.0,262980000.0
2015,20769.0,794690000.0,644725000.0,70756700.0,4433.0,8439660.0,39840800.0,242191000.0
2016,24156.0,801566000.0,610865000.0,68484000.0,5083.0,8543300.0,37813800.0,237243000.0
2017,23255.0,812433000.0,596134000.0,75503200.0,4421.0,8588350.0,29628900.0,233615000.0
2018,20126.0,818362000.0,594134000.0,62905900.0,1527.0,8460790.0,35416900.0,235334000.0
2019,13706.0,851666000.0,592060000.0,63062000.0,2021.0,9150290.0,34709300.0,191709000.0
2020,20404.0,867446000.0,582297000.0,61743000.0,1413.0,9171060.0,32657800.0,180676000.0
2021,18291.0,792635000.0,588149000.0,61656400.0,800.0,9316680.0,28702200.0,172811000.0
