TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,84.2,64.4,36.1,75.9,73.7,42.7,55.5,86.0
2001,84.2,64.9,37.1,76.6,74.0,43.1,56.4,86.2
2002,84.2,65.5,38.1,77.3,74.4,43.5,57.1,86.3
2003,84.2,66.1,39.1,78.0,74.9,44.0,57.8,86.3
2004,84.1,66.9,39.9,78.5,75.3,44.4,58.3,86.3
2005,84.0,67.3,40.6,79.0,75.7,44.8,58.8,86.3
2006,83.9,67.6,41.5,79.4,76.1,45.2,59.2,86.2
2007,83.7,67.6,42.4,79.9,76.5,45.7,59.6,86.2
2008,83.7,67.8,43.4,80.2,76.9,46.1,59.9,86.3
2009,83.9,68.0,44.6,80.6,77.4,46.7,60.1,86.4
2010,84.3,68.2,45.9,80.9,77.7,47.1,60.4,86.5
2011,84.6,68.5,47.2,81.2,78.0,47.6,60.6,86.7
2012,84.9,68.8,48.4,81.5,78.2,48.0,61.0,86.8
2013,85.0,69.1,49.6,81.7,78.4,48.5,61.2,86.9
2014,85.1,69.5,50.6,81.9,78.5,49.0,61.4,86.9
2015,85.2,69.9,51.6,82.1,78.7,49.5,61.5,86.8
2016,85.3,70.6,52.3,82.3,78.9,50.0,61.7,86.7
2017,85.3,71.3,53.0,82.4,79.0,50.4,61.9,86.6
2018,85.3,72.2,53.8,82.6,79.2,50.8,62.1,86.6
2019,85.3,73.0,54.4,82.8,79.4,51.2,62.5,86.6
2020,85.4,73.7,55.1,82.9,79.6,51.6,62.8,86.6
2021,85.5,74.2,55.9,83.0,79.9,52.1,63.2,86.6
2022,85.5,74.6,56.6,83.2,80.1,52.5,63.6,86.7
2023,85.6,74.9,57.4,83.3,80.3,52.9,64.0,86.7
