TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,90,62,51,91,94,66,85,83
2001,92,64,51,90,95,62,87,84
2002,92,64,52,91,95,67,83,82
2003,92,66,55,92,95,72,82,84
2004,91,69,58,93,96,67,86,85
2005,91,69,62,94,96,75,87,85
2006,91,69,64,93,96,74,87,89
2007,91,68,65,93,96,71,89,89
2008,91,72,69,92,96,63,90,92
2009,92,74,72,94,95,69,90,94
2010,92,77,70,93,94,62,91,94
2011,93,81,70,93,94,65,91,94
2012,92,81,69,93,95,65,88,96
2013,91,82,69,90,95,66,90,94
2014,92,84,70,89,93,59,89,95
2015,93,86,70,90,92,57,89,94
2016,94,87,72,89,92,55,89,95
2017,95,88,73,86,93,47,90,95
2018,95,89,73,86,94,46,90,93
2019,94,90,74,79,94,47,91,93
2020,94,85,72,76,93,50,88,91
2021,94,86,70,75,93,42,88,84
