TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2008,75,0,0,3,40,0,1,0
2009,90,0,0,11,43,0,19,0
2010,91,0,4,35,56,1,19,0
2011,91,0,12,60,58,1,25,4
2012,91,0,21,71,59,1,30,4
2013,91,10,34,74,60,7,35,3
2014,91,12,49,79,61,8,44,6
2015,93,18,60,82,61,27,45,7
2016,94,23,65,78,67,30,52,9
2017,94,26,67,78,76,42,58,11
2018,95,30,68,79,81,42,58,12
2019,95,36,68,78,83,43,59,13
2020,96,39,67,73,80,45,55,14
