TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania*,Australia and New Zealand,Latin America and the Caribbean
2010,69,63,40,52,70,45,90,50
2011,72,68,44,63,74,56,94,61
2012,79,70,50,63,74,57,97,64
2013,81,77,51,65,81,67,98,72
2014,81,81,53,73,84,68,99,73
2015,83,83,59,72,85,70,99,76
2016,80,83,59,70,87,72,98,79
2017,79,81,55,64,86,60,99,79
2018,74,73,41,55,71,52,90,64
2019,77,73,43,58,72,51,87,69
2020,77,72,48,62,74,56,89,71
