TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,32.7,12.52,27.57,31.69,33.05,23.32,10.61,24.05
2001,34.06,12.56,27.48,32.56,33.64,23.22,10.74,24.49
2002,34.39,12.61,27.1,32.86,34.11,23.19,9.88,24.92
2003,34.28,12.67,26.84,33.79,34.94,23.32,9.69,25.28
2004,33.72,12.94,26.87,34.14,34.91,23.51,9.17,25.6
2005,34.41,13.06,26.5,35.08,35.48,24.35,10.24,26.04
2006,35.03,13.0,26.48,35.11,35.37,24.82,11.2,26.47
2007,35.07,12.92,26.61,35.74,35.97,25.36,11.49,27.7
2008,36.08,12.56,27.04,35.93,35.83,25.81,12.1,27.96
2009,36.04,12.26,27.41,36.76,36.14,26.42,12.48,28.3
2010,35.06,12.04,27.1,36.94,36.79,27.06,12.78,29.0
2011,36.5,12.3,28.61,37.24,36.88,27.43,13.11,29.35
2012,36.28,12.53,28.65,37.82,36.82,27.52,12.15,29.34
2013,36.42,12.52,28.62,37.97,36.32,27.48,11.17,30.27
2014,36.84,12.7,29.15,38.33,36.3,27.9,11.05,30.7
2015,37.89,12.66,29.32,38.89,36.77,28.0,10.97,31.03
2016,37.17,12.76,29.7,39.0,37.17,27.81,11.94,31.51
2017,38.7,12.9,30.65,39.02,37.41,27.88,11.64,31.74
2018,38.16,13.03,30.35,38.82,37.63,27.74,11.45,32.42
2019,38.39,13.23,30.34,38.39,38.11,27.85,11.8,33.1
2020,38.44,12.71,29.81,37.65,38.91,27.58,12.16,32.95
