TIME_PERIOD,Denmark,Finland,Norway,Sweden
2000,94.4719,86.48216,76.51402,95.02129
2001,94.4719,86.64252,76.57737,95.0416
2002,94.4719,86.8029,76.64143,95.06086
2003,94.4719,86.96327,76.7062,95.08014
2004,94.4719,87.12364,76.77176,95.09934
2005,94.4719,87.28402,76.83809,95.11847
2006,94.4719,87.44439,76.90514,95.13986
2007,94.4719,87.60476,76.97286,95.16336
2008,94.8389,87.76513,77.04126,95.18677
2009,95.20349,87.9255,77.11037,95.21003
2010,95.56569,88.08586,77.18018,95.23311
2011,95.92549,88.24621,77.25053,95.26002
2012,96.2829,88.40656,77.32143,95.29047
2013,96.63793,88.56692,77.39304,95.32045
2014,96.99058,88.7273,77.46535,95.35006
2015,97.34087,88.88768,77.5384,95.3793
2016,97.68877,89.04805,77.61214,95.40808
2017,98.03433,89.20843,77.68661,95.43651
2018,98.37754,89.36881,77.76178,95.4644
2019,98.55531,89.52919,77.83769,95.49181
2020,98.64052,89.68956,77.91432,95.51875
2021,98.7227,89.84994,77.99166,95.54522
2022,98.80183,90.01031,78.06972,95.55599
