TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania*,Australia and New Zealand,Latin America and the Caribbean
2000,,80.0,9.0,26.0,42.0,10.0,,80.0
2001,,82.0,9.0,27.0,42.0,10.0,,81.0
2002,,83.0,10.0,28.0,43.0,10.0,,81.0
2003,,84.0,10.0,29.0,43.0,10.0,,82.0
2004,,85.0,10.0,30.0,45.0,10.0,,83.0
2005,,86.0,10.0,31.0,46.0,11.0,,83.0
2006,,87.0,11.0,32.0,48.0,11.0,,84.0
2007,,88.0,11.0,33.0,49.0,11.0,,84.0
2008,,88.0,11.0,34.0,51.0,11.0,,85.0
2009,,89.0,11.0,36.0,54.0,12.0,,85.0
2010,,89.0,12.0,37.0,56.0,12.0,,85.0
2011,,90.0,12.0,39.0,58.0,12.0,,86.0
2012,,90.0,12.0,41.0,61.0,13.0,,86.0
2013,,91.0,13.0,42.0,63.0,13.0,,86.0
2014,,91.0,13.0,45.0,65.0,13.0,,87.0
2015,,91.0,13.0,48.0,68.0,13.0,,87.0
2016,,91.0,14.0,50.0,70.0,14.0,,87.0
2017,,92.0,15.0,53.0,72.0,14.0,,88.0
2018,,92.0,15.0,56.0,74.0,14.0,,88.0
2019,,92.0,16.0,60.0,76.0,14.0,,88.0
2020,,92.0,17.0,63.0,77.0,15.0,,88.0
