TIME_PERIOD,World,Change
2000,6.12,
2001,6.03,-1.4705882352941124
2002,6.0,-0.4975124378109541
2003,5.99,-0.1666666666666594
2004,5.96,-0.5008347245409106
2005,5.86,-1.6778523489932806
2006,5.73,-2.2184300341296925
2007,5.6,-2.2687609075043746
2008,5.51,-1.6071428571428514
2009,5.5,-0.1814882032667886
2010,5.53,0.5454545454545601
2011,5.41,-2.169981916817365
2012,5.31,-1.848428835489846
2013,5.22,-1.6949152542372836
2014,5.12,-1.9157088122605304
2015,4.96,-3.125
2016,4.85,-2.2177419354838745
2017,4.78,-1.4432989690721487
2018,4.73,-1.0460251046025104
2019,4.65,-1.6913319238900604
2020,4.63,-0.43010752688172893
