TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania*,Australia and New Zealand,Latin America and the Caribbean
2000,0.68582,1.39231,3.96434,3.98019,1.99175,3.64906,1.1233,1.741
2001,0.66949,1.39207,3.90759,3.92911,1.97519,3.92913,1.08533,1.77024
2002,0.65313,1.50923,3.74418,3.77221,1.98943,3.36908,1.06563,1.79432
2003,0.6426,1.50262,3.70334,3.70062,2.04374,3.4612,0.99787,1.82748
2004,0.65335,1.42274,3.55147,3.53413,2.07603,3.03369,1.01468,1.80351
2005,0.64268,1.44293,3.50407,3.45823,2.05553,3.21668,0.97729,1.76491
2006,0.63425,1.46667,3.48165,3.42939,2.06157,3.13247,0.95172,1.74443
2007,0.61439,1.50857,3.32893,3.45781,2.03037,3.12346,0.8979,1.75175
2008,0.59255,1.5162,3.26859,3.41062,2.00953,3.30348,0.85728,1.738
2009,0.55285,1.52633,3.09895,3.29313,2.13305,3.31607,0.86665,1.75044
2010,0.54242,1.55185,3.07125,3.13074,2.16086,3.29976,0.79707,1.72678
2011,0.55235,1.53353,2.96604,3.26192,2.20387,3.14056,0.80824,1.78632
2012,0.52875,1.49733,3.09847,3.26263,2.22202,3.03741,0.7794,1.79466
2013,0.5324,1.48221,3.03039,3.11341,2.21527,2.6217,0.76998,1.78827
2014,0.52934,1.44187,2.92837,2.86353,2.1795,2.35595,0.78208,1.76515
2015,0.51822,1.43525,2.87261,2.81413,2.04005,2.17287,0.75187,1.7699
2016,0.51085,1.33294,2.89369,2.69139,1.9426,2.28016,0.71331,1.80121
2017,0.50307,1.37698,2.76219,2.60934,1.85459,2.30245,0.77546,1.80474
2018,0.49555,1.42713,2.85543,2.58873,1.73412,2.31131,0.77138,1.7957
2019,0.48375,1.45526,2.83271,2.5728,1.71339,2.25416,0.80275,1.84711
