TIME_PERIOD,World,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,9.40309,44.3562,3.85195,4.57198,12.113,19.9728,11.9444,7.6222,8.72048
2001,9.40006,43.8218,3.89327,4.6145,12.2165,19.7212,12.9167,7.49899,8.88122
2002,9.48024,44.0089,3.85081,4.62801,12.1947,19.4807,11.0917,8.10112,9.26616
2003,9.73737,42.2979,3.99281,4.64093,12.4778,19.534,11.6122,8.26065,9.91877
2004,10.1184,43.9767,4.0095,4.65274,12.8346,20.3637,10.1546,8.32792,10.6184
2005,10.3189,42.9864,4.13876,4.74941,12.9869,20.4942,10.9134,8.68682,11.033
2006,10.7465,42.8064,4.36151,4.84553,13.4615,20.9153,10.5816,9.43168,11.772
2007,11.0417,41.178,4.65399,4.82585,14.1438,20.7347,10.9054,9.87799,12.403
2008,11.0696,39.2323,4.66997,4.88498,14.3193,20.0071,11.2926,10.4824,12.775
2009,10.993,39.7873,4.7017,4.68778,13.9339,17.8985,11.3973,10.3301,13.8439
2010,11.4331,36.6269,4.73295,4.82148,14.4199,17.9216,11.7612,10.8513,15.0326
2011,12.0209,37.9462,5.11422,4.79793,15.4105,18.4408,11.1845,11.0312,16.1193
2012,12.2694,37.0663,5.25654,5.09757,15.7368,17.7776,10.8688,11.082,17.0175
2013,12.5376,36.9481,5.19313,5.14855,15.9528,18.0371,9.4155,11.3179,17.7833
2014,12.596,37.9122,5.02431,5.13378,15.7269,18.2395,8.8285,11.1031,18.2249
2015,12.4121,37.0098,5.15502,5.0727,15.6063,18.1769,8.38633,11.039,17.7531
2016,12.2961,35.3068,5.2328,5.01305,15.547,18.0725,8.99192,10.5744,17.6355
2017,12.2954,38.7854,5.31298,4.79045,15.6305,18.1635,9.12619,10.8493,17.6024
2018,12.2289,39.0605,5.46822,4.9648,15.5174,18.2094,9.00186,11.3085,17.193
2019,12.3347,40.3589,5.51566,4.92251,15.7316,18.066,8.95011,11.5496,17.5726
