TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,1013558911.9489,5823825136.66839,2924519562.74807,6320993158.55577,20731451521.879,102418712.42833,2712600633.48063,17831550783.074
2001,1012399435.75428,5992270123.36615,3030003186.82217,6465116468.30442,20537401449.8378,112826382.62186,2719590111.55908,18310980026.2452
2002,1028249138.59355,6031765780.52264,3119432045.20761,6541738873.46704,20355333463.0141,98608986.51813,2994162247.92033,19256762078.6138
2003,1000185285.19512,6362575580.64809,3211327519.67529,6782221947.80914,20482714739.1252,105034196.98485,3112251045.20432,20771518886.2113
2004,1053684914.58818,6497162185.90931,3305770917.14993,7066153969.9101,21431770019.3429,93479966.89749,3199614562.73728,22403248168.0773
2005,1045167694.84872,6816846068.77192,3465803086.34697,7240220514.35427,21653699220.2591,102327352.75629,3405109582.65221,23448864991.6353
2006,1057839352.64577,7298456993.83379,3632636350.29074,7597472996.32205,22190524206.3199,101148117.46073,3773857085.06488,25200222106.9517
2007,1035601042.00947,7908825522.05331,3717622846.32159,8078979210.71274,22095096610.294,106344225.09783,4036161178.10559,26739734468.6935
2008,1004757779.96113,8055803713.4441,3867520049.76734,8275992762.00322,21414953818.8391,112369807.42678,4374881899.2387,27735859466.0481
2009,1037420641.0993,8229621900.87735,3814592335.68629,8146826458.67864,19242750176.0141,115693248.92674,4403742877.30445,30268000666.4057
2010,971520131.24225,8402683949.24237,4032509856.77717,8527239034.5806,19350002323.512,121708605.83837,4724311795.44098,33098868140.3554
2011,1022902475.06095,9205725197.72168,4124354245.81193,9215372217.73835,19991716203.3043,117903328.6336,4903742467.90502,35743395804.2661
2012,1014594381.33679,9589781156.26477,4503563317.57472,9514447276.20434,19347666737.6448,116647745.65727,5028933326.41553,38003313224.3465
2013,1026176999.12689,9599178290.29047,4674542363.38949,9749476822.48278,19703070398.5284,102839068.67036,5241199804.0251,39993061852.8048
2014,1067758433.91536,9407521399.73105,4789688874.05635,9712895808.68471,19995650450.5317,98126009.04225,5244494111.06021,41268717205.6897
2015,1056520757.74199,9775609858.25658,4862572665.72189,9737323360.37626,19996261077.5749,94863409.70462,5315517219.42525,40467994494.7129
2016,1021143748.52291,10048238405.8855,4936520852.46865,9796880675.8354,19948283048.6504,103529821.5519,5187483947.22365,40457568334.3352
2017,1135895367.45563,10329009952.3283,4845202931.40886,9944674525.41121,20113419636.0283,106957429.93605,5419204803.77909,40630317658.353
2018,1157804942.30904,10760716562.2801,5156571194.8937,9965501086.86797,20225478907.9899,107388014.50323,5748380237.17297,39918131811.6836
2019,1210211640.10875,10984007409.9111,5248793715.07831,10195952723.8566,20121574813.7198,108670360.51369,5972338684.71497,41025284871.6485
