TIME_PERIOD,Europe and Northern America,Northern Africa and Western Asia,Sub-Saharan Africa,Central and Southern Asia,Eastern and South-Eastern Asia,Oceania*,Australia and New Zealand,Latin America and the Caribbean
2005,13.85,33.02,19.92,31.13,19.78,20.9,9.7,20.59
2006,13.25,32.03,19.74,31.07,19.74,21.82,9.21,20.23
2007,12.72,31.7,19.72,30.44,19.49,22.83,8.7,19.96
2008,12.46,31.02,19.39,29.62,19.35,23.82,8.39,19.66
2009,14.07,30.42,19.44,29.45,19.34,24.7,11.88,20.14
2010,14.25,30.8,19.58,28.56,18.95,25.6,11.71,20.02
2011,13.81,30.61,19.5,28.26,18.84,25.84,11.08,20.19
2012,13.62,29.74,19.36,28.26,18.51,25.99,10.56,20.07
2013,13.66,28.88,18.9,28.81,18.48,26.07,11.22,20.32
2014,13.23,28.81,18.98,28.78,17.95,26.49,10.36,20.36
2015,12.61,28.65,19.11,28.98,17.84,26.89,10.1,20.76
2016,12.28,28.76,19.77,28.97,17.59,27.05,9.29,21.09
2017,11.54,28.95,20.02,29.41,17.31,27.12,9.45,21.39
2018,11.33,29.03,20.34,29.81,16.9,26.99,9.83,21.27
2019,10.87,29.49,20.76,29.01,16.68,27.1,9.15,21.16
2020,12.86,30.79,21.79,30.82,17.63,27.61,10.37,23.97
