TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2010,1.97473,,3.42677,3.23499,2.54512
2011,1.45256,2.43089,3.68263,3.37027,2.61123
2012,1.47303,2.51352,4.16666,3.32541,2.74303
2013,1.68546,2.46271,4.67865,3.3388,2.67147
2014,1.88571,2.44437,5.47964,3.32092,2.62691
2015,1.87378,2.45182,6.449,3.54613,2.64972
2016,1.93069,2.45952,8.1984,3.80201,2.73745
2017,2.3387,2.67115,7.9837,3.67976,2.60058
2018,2.25813,2.69927,8.08922,4.2,2.59829
2019,2.48468,2.74212,8.01231,3.64716,2.43984
2020,1.55473,1.7,3.8977,,1.69136
2021,,,,,1.93008
