TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,10.26,12.71,12.6,16.76,13.52,6.37,11.67,19.05
2001,10.11,12.86,12.36,16.61,13.19,6.02,11.53,18.65
2002,10.26,12.93,12.39,16.39,13.1,6.1,11.61,19.16
2003,10.01,12.88,11.69,16.35,13.23,6.35,11.58,20.9
2004,9.69,13.06,11.3,16.53,13.43,6.73,11.47,22.59
2005,9.4,13.38,11.13,16.39,13.39,6.3,11.56,22.78
2006,9.15,14.17,11.05,16.18,13.7,6.58,11.65,23.18
2007,9.13,14.07,10.9,15.93,13.8,7.29,11.75,23.85
2008,8.48,14.48,10.64,15.74,13.48,5.79,11.81,23.97
2009,8.25,14.81,9.99,14.79,12.33,5.25,11.5,23.58
2010,8.08,14.91,9.95,14.92,12.88,5.61,11.81,24.51
2011,7.85,14.9,10.14,14.8,12.99,5.74,12.14,24.64
2012,7.47,14.88,10.28,14.46,12.72,5.13,11.82,24.97
2013,7.25,14.69,10.46,14.33,12.73,4.96,11.84,24.98
2014,7.02,14.77,10.39,14.01,12.78,4.9,11.99,25.45
2015,6.74,15.08,10.27,13.8,12.8,4.8,11.95,25.58
2016,6.58,15.08,10.3,13.6,12.71,4.84,11.88,25.55
2017,6.53,15.16,10.38,13.51,12.84,4.77,12.11,25.58
2018,6.36,15.07,10.44,13.36,12.94,4.84,11.99,25.67
2019,6.25,14.64,10.31,13.15,12.83,4.89,11.76,25.36
2020,6.22,15.28,10.16,13.16,12.72,5.05,11.87,25.55
2021,6.2,15.52,10.26,12.84,12.9,5.26,12.26,25.95
2022,6.07,15.67,10.18,12.74,12.92,5.4,12.32,25.98
