TIME_PERIOD,Denmark,Finland,Iceland,Norway,Sweden
2000,0.132,0.3,0.487,0.274,0.223
2001,0.134,0.288,0.475,0.258,0.201
2002,0.127,0.268,0.525,0.223,0.196
2003,0.132,0.249,0.473,0.271,0.183
2004,0.133,0.242,0.455,0.268,0.175
2005,0.13,0.221,0.451,0.228,0.14
2006,0.129,0.198,0.392,0.221,0.117
2007,0.123,0.171,0.376,0.207,0.112
2008,0.111,0.165,0.296,0.205,0.11
2009,0.103,0.175,0.278,0.181,0.102
2010,0.104,0.203,0.279,0.22,0.111
2011,0.098,0.185,0.252,0.218,0.1
2012,0.088,0.187,0.256,0.208,0.097
2013,0.079,0.18,0.275,0.2,0.094
2014,0.079,0.182,0.275,0.189,0.088
2015,0.077,0.18,0.235,0.195,0.087
2016,0.076,0.174,0.022,0.204,0.081
2017,0.074,0.157,0.011,0.207,0.08
2018,0.071,0.169,0.01,0.204,0.078
2019,0.066,0.155,0.011,0.202,0.081
2020,0.068,0.147,0.017,0.209,0.08
