TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Oceania*,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,0.489,1.605,0.596,0.401,0.356,1.107,0.993,0.811
2001,0.473,1.576,0.502,0.398,0.349,1.127,1.002,0.834
2002,0.373,1.55,0.505,0.415,0.326,1.194,1.037,0.794
2003,0.436,1.472,0.576,0.405,0.318,1.23,1.005,0.761
2004,0.444,1.455,0.634,0.392,0.305,1.253,0.927,0.811
2005,0.421,1.466,0.619,0.385,0.28,1.24,0.913,0.92
2006,0.408,1.361,0.565,0.38,0.262,1.188,0.915,0.908
2007,0.403,1.465,0.501,0.351,0.256,1.095,0.94,0.873
2008,0.44,1.493,0.484,0.352,0.253,1.289,0.867,0.864
2009,0.398,1.46,0.62,0.341,0.245,1.385,0.921,0.9
2010,0.36,1.483,0.558,0.378,0.257,1.319,0.946,0.875
2011,0.368,1.542,0.521,0.39,0.241,1.264,0.877,0.863
2012,0.38,1.441,0.486,0.371,0.247,1.301,0.871,0.812
2013,0.376,1.478,0.49,0.371,0.24,1.345,0.842,0.767
2014,0.384,1.415,0.5,0.357,0.236,1.394,0.835,0.724
2015,0.358,1.288,0.469,0.351,0.226,1.41,0.825,0.666
2016,0.373,1.244,0.465,0.332,0.226,1.4,0.791,0.606
2017,0.359,1.249,0.428,0.348,0.215,1.443,0.76,0.556
2018,0.368,1.219,0.461,0.322,0.21,1.526,0.729,0.547
2019,0.376,1.164,0.447,0.319,0.206,1.456,0.742,0.539
2020,0.355,1.083,0.445,0.321,0.211,1.378,0.747,0.55
