TIME_PERIOD,Australia and New Zealand,Central and Southern Asia,Sub-Saharan Africa,Latin America and the Caribbean,Europe and Northern America,Northern Africa and Western Asia,Eastern and South-Eastern Asia
2000,1.50308,0.56379,0.3364,0.54051,2.04844,0.59214,1.50753
2001,1.58748,0.5582,0.3453,0.55082,2.07152,0.61161,1.54244
2002,1.66641,0.55612,0.3498,0.54443,2.0411,0.61202,1.57167
2003,1.71303,0.57816,0.35044,0.55189,2.04259,0.59938,1.58887
2004,1.75548,0.59211,0.35925,0.53793,1.99607,0.59361,1.61585
2005,1.89611,0.661,0.36735,0.55104,1.99811,0.60516,1.67778
2006,2.04121,0.64874,0.37855,0.54386,2.02082,0.6045,1.72042
2007,2.13877,0.66516,0.37338,0.57655,2.05048,0.63594,1.72529
2008,2.24592,0.69372,0.37791,0.61416,2.12556,0.63302,1.75022
2009,2.2428,0.6772,0.36625,0.63733,2.2045,0.6659,1.81675
2010,2.22992,0.64799,0.34449,0.65284,2.16069,0.66182,1.82583
2011,2.10821,0.62382,0.34716,0.62687,2.17832,0.68979,1.88767
2012,2.07942,0.61638,0.34849,0.62529,2.16395,0.6956,1.95448
2013,2.04876,0.59291,0.35303,0.65975,2.17821,0.7005,2.01928
2014,1.93942,0.59127,0.35609,0.68828,2.19804,0.72762,2.05322
2015,1.83022,0.58731,0.36044,0.70958,2.21152,0.76628,2.05214
2016,1.81767,0.5774,0.36623,0.66586,2.22578,0.78837,2.06451
2017,1.80533,0.57593,0.36699,0.59537,2.26452,0.81846,2.09337
2018,1.80484,0.56296,0.36619,0.60979,2.27964,0.85767,2.11745
